year;Albania;Andorra;Armenia;Austria;Azerbaijan;Belgium;Bosnia and Herzegovina;Croatia;Cyprus;Denmark;Estonia;Faroe Islands;Finland;France;Georgia;Germany;Gibraltar;Greece;Greenland;Hungary;Iceland;Ireland;Isle of Man;Italy;Kazakhstan;Latvia;Liechtenstein;Lithuania;Luxembourg;Malta;Moldova;Monaco;Montenegro;Netherlands;Norway;Poland;Portugal;Romania;Serbia;Slovak Republic;Slovenia;Spain;Sweden;Switzerland;Ukraine;United Kingdom
year_1960;1608800;13410;1874119;7047539;3895398;9153489;3225664;4140181;572933;4579603;1211537;34624;4429634;46621688;3645600;72814900;23420;8331725;32500;9983967;175574;2828600;48444;50199700;9934564;2120979;16501;2778550;313970;326550;2043664;22461;480579;11486631;3581239;29637450;8857716;18406905;6608000;4068095;1584720;30455000;7484656;5327827;42664646;52400000
year_1961;1659800;14378;1941498;7086299;4030325;9183948;3288604;4167292;576402;4611687;1225077;35074;4461005;47240526;3703600;73377632;23808;8398050;33700;10029321;179029;2824400;48286;50536350;10349422;2152681;16894;2823550;316845;325250;2092667;22813;491140;11638712;3609800;29964000;8929316;18555250;6655000;4191667;1594131;30739250;7519998;5434294;43206353;52800000
year_1962;1711319;15379;2009524;7129864;4171428;9220578;3353228;4196712;577696;4647727;1241623;35521;4491443;47904879;3760300;74025784;24307;8448233;35000;10061734;182378;2836050;48421;50879450;10756931;2181586;17300;2863350;320750;323900;2140063;23043;502558;11805689;3638918;30308500;8993985;18676550;6696000;4238188;1603649;31023366;7561588;5573815;43752227;53250000
year_1963;1762621;16407;2077584;7175811;4315127;9289770;3417573;4225675;577918;4684483;1258857;35965;4523309;48582624;3816100;74714353;24889;8479625;36400;10087947;185653;2852650;48800;51252000;11147860;2210919;17724;2898950;324100;322550;2185050;23165;513409;11965966;3666537;30712000;9030355;18797850;6732000;4282017;1616971;31296651;7604328;5694247;44288607;53650000
year_1964;1814135;17466;2145004;7223801;4456691;9378113;3478999;4252876;578628;4722072;1277086;36409;4548543;49230585;3870300;75318337;25478;8510429;37600;10119835;188983;2866550;49396;51675350;11511856;2240623;18170;2935200;327750;321250;2228429;23236;521753;12127120;3694339;31139450;9035365;18919126;6765000;4327341;1632114;31609195;7661354;5789228;44796959;5,40E+07
year_1965;1864791;18542;2211316;7270889;4592601;9463667;3535632;4280923;580972;4759012;1294566;36843;4563732;49818019;3921600;75963695;26079;8550333;39200;10147935;192286;2877300;50145;52112350;11841926;2265919;18642;2971450;331500;318800;2269399;23289;526327;12294732;3723168;31444950;8998595;19031576;6794000;4370983;1649160;31954292;7733853;5856472;45264552;54348050
year_1966;1914573;19646;2276038;7322066;4721528;9527807;3586630;4310701;585313;4797381;1308597;37283;4580869;50330268;3966700;76600311;26631;8613651;40500;10178653;195570;2888800;51051;52519000;12132560;2283217;19160;3008050;333895;315200;2307959;23302;526419;12456251;3753012;31681000;8930990;19215450;6841000;4411666;1669905;32283194;7807797;5918002;45684983;54648500
year_1967;1965598;20760;2339133;7376998;4843872;9580991;3632678;4338683;591301;4835354;1318946;37705;4605744;50775788;4005800;76951336;27172;8684088;41900;10216604;198751;2902450;52117;52900500;12385706;2301220;19688;3044400;334995;311550;2344108;23292;522796;12598201;3784539;31987155;8874520;19534242;6880000;4449367;1689528;32682947;7867931;5991785;46063219;54943600
year_1968;2022272;21886;2401142;7415403;4960237;9618756;3675448;4365628;598495;4864883;1331214;38131;4626469;51175507;4042300;77294314;27693;8740765;43400;10255815;201488;2915550;53252;53235750;12611432;2323619;20237;3078850;335850;307900;2377848;23295;517481;12729721;3816486;32294655;8836650;19799831;6915000;4483915;1704546;33113134;7912273;6067714;46411816;55211700
year_1969;2081695;23053;2462938;7441055;5071930;9646032;3717476;4391490;606121;4891860;1345249;38560;4623785;51561833;4080300;77909682;28165;8772764;44900;10298723;203369;2932650;54378;53537950;12824614;2343173;20766;3107321;337500;304300;2411588;23348;513340;12877984;3847707;32548300;8757705;20009141;6945000;4518607;1713874;33441054;7968072;6136387;46749289;55441750
