trans;hwy
auto;29
manual;29
manual;31
auto;30
auto;26
manual;26
auto;27
manual;26
auto;25
manual;28
auto;27
auto;25
manual;25
auto;25
manual;25
auto;24
auto;25
auto;23
auto;20
auto;15
auto;20
auto;17
auto;17
manual;26
auto;23
manual;26
auto;25
manual;24
auto;19
auto;14
auto;15
auto;17
auto;27
auto;30
auto;26
auto;29
auto;26
auto;24
auto;24
auto;22
auto;22
auto;24
auto;24
auto;17
auto;22
auto;21
auto;23
auto;23
manual;19
auto;18
auto;17
manual;17
auto;19
auto;19
auto;12
manual;17
auto;15
auto;17
auto;17
auto;12
auto;17
auto;16
auto;18
auto;15
manual;16
auto;12
auto;17
auto;17
manual;16
manual;12
auto;15
manual;16
auto;17
auto;15
auto;17
auto;17
auto;18
auto;17
manual;19
auto;17
auto;19
auto;19
auto;17
auto;17
manual;17
manual;16
auto;16
auto;17
auto;15
auto;17
manual;26
auto;25
manual;26
auto;24
auto;21
manual;22
manual;23
auto;22
manual;20
manual;33
auto;32
manual;32
manual;29
auto;32
manual;34
auto;36
auto;36
manual;29
auto;26
manual;27
auto;30
manual;31
auto;26
manual;26
auto;28
auto;26
manual;29
manual;28
auto;27
auto;24
manual;24
manual;24
auto;22
auto;19
auto;20
auto;17
auto;12
auto;19
auto;18
auto;14
auto;15
auto;18
auto;18
auto;15
auto;17
auto;16
auto;18
auto;17
auto;19
auto;19
auto;17
manual;29
auto;27
auto;31
manual;32
manual;27
auto;26
auto;26
manual;25
auto;25
auto;17
manual;17
auto;20
auto;18
auto;26
auto;26
auto;27
auto;28
auto;25
manual;25
auto;24
manual;27
manual;25
auto;26
auto;23
auto;26
manual;26
manual;26
auto;26
auto;25
auto;27
manual;25
manual;27
manual;20
auto;20
auto;19
manual;17
auto;20
auto;17
manual;29
auto;27
manual;31
auto;31
auto;26
manual;26
auto;28
auto;27
manual;29
manual;31
auto;31
auto;26
manual;26
auto;27
auto;30
auto;33
manual;35
manual;37
auto;35
auto;15
auto;18
manual;20
auto;20
manual;22
manual;17
auto;19
manual;18
auto;20
manual;29
auto;26
manual;29
auto;29
manual;24
manual;44
manual;29
auto;26
auto;29
manual;29
auto;29
manual;29
auto;23
manual;24
manual;44
auto;41
manual;29
auto;26
manual;28
auto;29
manual;29
auto;29
auto;28
manual;29
auto;26
manual;26
auto;26
